y,pred
101.0,100.0
120.0,100.0
131.0,113.0
164.0,125.0
154.0,152.0
133.0,153.0
148.0,139.0
172.0,145.0
153.0,162.0
162.0,154.0
200.0,160.0
169.0,186.0
149.0,173.0
168.0,157.0
174.0,163.0
130.0,168.0
130.0,141.0
131.0,133.0
114.0,130.0
119.0,117.0
105.0,118.0
121.0,108.0
115.0,116.0
102.0,115.0
141.0,106.0
131.0,130.0
142.0,129.0
229.0,138.0
168.0,201.0
125.0,176.0
120.0,143.0
130.0,126.0
181.0,126.0
196.0,162.0
118.0,185.0
110.0,139.0
169.0,120.0
103.0,151.0
101.0,115.0
70.0,107.0
79.0,80.0
92.0,78.0
82.0,87.0
78.0,83.0
69.0,80.0
66.0,72.0
39.0,68.0
33.0,48.0
41.0,38.0
46.0,40.0
33.0,44.0
23.0,37.0
24.0,28.0
25.0,26.0
13.0,25.0
14.0,17.0
15.0,16.0
10.0,16.0
14.0,12.0
4.0,14.0
15.0,8.0
12.0,13.0
5.0,13.0
11.0,9.0
9.0,11.0
6.0,10.0
5.0,8.0
6.0,7.0
5.0,7.0
4.0,6.0
8.0,5.0
5.0,8.0
7.0,7.0
9.0,8.0
12.0,9.0
11.0,12.0
10.0,12.0
12.0,11.0
4.0,12.0
15.0,7.0
23.0,13.0
22.0,21.0
28.0,22.0
25.0,27.0
21.0,26.0
32.0,23.0
44.0,30.0
42.0,40.0
51.0,42.0
51.0,49.0
54.0,51.0
69.0,53.0
68.0,65.0
59.0,67.0
94.0,62.0
85.0,84.0
95.0,84.0
112.0,93.0
111.0,106.0
119.0,109.0
141.0,116.0
128.0,133.0
125.0,129.0
131.0,126.0
125.0,129.0
147.0,125.0
171.0,140.0
141.0,161.0
125.0,146.0
159.0,132.0
129.0,150.0
160.0,133.0
155.0,152.0
176.0,152.0
138.0,168.0
161.0,146.0
138.0,156.0
155.0,142.0
147.0,150.0
158.0,147.0
134.0,153.0
160.0,139.0
170.0,153.0
161.0,163.0
147.0,160.0
146.0,151.0
122.0,147.0
149.0,128.0
117.0,142.0
131.0,123.0
151.0,129.0
154.0,143.0
141.0,149.0
128.0,143.0
127.0,132.0
144.0,128.0
128.0,138.0
150.0,130.0
128.0,144.0
131.0,132.0
135.0,131.0
147.0,133.0
148.0,142.0
119.0,145.0
101.0,126.0
141.0,109.0
168.0,130.0
164.0,154.0
145.0,161.0
158.0,151.0
198.0,155.0
174.0,183.0
158.0,175.0
180.0,164.0
171.0,174.0
187.0,170.0
168.0,181.0
166.0,171.0
174.0,167.0
167.0,171.0
147.0,166.0
141.0,152.0
129.0,144.0
136.0,132.0
122.0,133.0
118.0,125.0
129.0,119.0
120.0,125.0
141.0,121.0
144.0,134.0
188.0,140.0
204.0,173.0
122.0,194.0
147.0,144.0
166.0,147.0
144.0,157.0
124.0,146.0
97.0,131.0
115.0,106.0
191.0,111.0
232.0,165.0
159.0,210.0
127.0,175.0
126.0,143.0
124.0,129.0
201.0,123.0
178.0,176.0
151.0,175.0
78.0,159.0
69.0,103.0
54.0,78.0
71.0,59.0
65.0,66.0
49.0,65.0
52.0,54.0
40.0,53.0
43.0,44.0
35.0,43.0
31.0,37.0
27.0,33.0
29.0,29.0
18.0,29.0
20.0,22.0
15.0,21.0
10.0,17.0
7.0,13.0
8.0,9.0
4.0,9.0
6.0,6.0
6.0,7.0
9.0,7.0
6.0,9.0
6.0,8.0
5.0,8.0
7.0,6.0
3.0,7.0
4.0,5.0
1.0,5.0
6.0,3.0
7.0,6.0
7.0,7.0
9.0,8.0
9.0,9.0
13.0,10.0
17.0,13.0
16.0,16.0
23.0,17.0
17.0,22.0
16.0,19.0
17.0,18.0
16.0,18.0
30.0,17.0
34.0,27.0
41.0,32.0
36.0,39.0
51.0,38.0
45.0,47.0
54.0,46.0
76.0,52.0
73.0,69.0
72.0,72.0
78.0,73.0
95.0,77.0
109.0,89.0
103.0,102.0
116.0,103.0
105.0,112.0
104.0,106.0
125.0,105.0
114.0,118.0
140.0,114.0
141.0,132.0
112.0,137.0
128.0,120.0
150.0,125.0
139.0,141.0
152.0,139.0
150.0,148.0
118.0,148.0
157.0,126.0
156.0,147.0
166.0,151.0
175.0,161.0
134.0,170.0
161.0,144.0
164.0,155.0
162.0,159.0
143.0,160.0
165.0,148.0
151.0,159.0
127.0,152.0
177.0,134.0
147.0,163.0
146.0,149.0
137.0,147.0
172.0,139.0
139.0,160.0
152.0,144.0
120.0,150.0
142.0,128.0
142.0,137.0
146.0,139.0
152.0,143.0
142.0,149.0
127.0,143.0
142.0,131.0
104.0,138.0
130.0,113.0
130.0,124.0
119.0,127.0
115.0,121.0
132.0,117.0
132.0,126.0
140.0,129.0
177.0,136.0
187.0,164.0
170.0,178.0
152.0,172.0
127.0,158.0
133.0,135.0
121.0,132.0
107.0,123.0
96.0,111.0
132.0,100.0
126.0,121.0
104.0,123.0
82.0,110.0
81.0,91.0
84.0,83.0
85.0,83.0
87.0,84.0
87.0,86.0
86.0,87.0
99.0,86.0
73.0,94.0
69.0,79.0
64.0,72.0
60.0,66.0
53.0,62.0
63.0,56.0
47.0,61.0
31.0,51.0
43.0,38.0
40.0,42.0
27.0,40.0
46.0,32.0
44.0,42.0
22.0,43.0
28.0,29.0
25.0,29.0
29.0,26.0
23.0,29.0
16.0,25.0
26.0,20.0
12.0,25.0
15.0,16.0
9.0,16.0
4.0,12.0
3.0,7.0
9.0,5.0
2.0,8.0
4.0,5.0
11.0,5.0
3.0,10.0
3.0,6.0
3.0,5.0
4.0,5.0
2.0,5.0
3.0,4.0
3.0,4.0
1.0,4.0
3.0,3.0
5.0,4.0
2.0,5.0
3.0,4.0
2.0,4.0
6.0,3.0
10.0,6.0
11.0,10.0
9.0,11.0
12.0,11.0
15.0,12.0
13.0,15.0
24.0,14.0
25.0,22.0
32.0,25.0
32.0,31.0
44.0,32.0
38.0,41.0
63.0,39.0
80.0,57.0
76.0,73.0
100.0,76.0
106.0,93.0
119.0,102.0
141.0,114.0
100.0,133.0
94.0,110.0
105.0,100.0
115.0,103.0
111.0,110.0
115.0,111.0
115.0,114.0
106.0,114.0
114.0,108.0
115.0,112.0
97.0,113.0
107.0,101.0
112.0,105.0
95.0,109.0
93.0,99.0
84.0,95.0
81.0,87.0
89.0,83.0
98.0,87.0
107.0,94.0
103.0,103.0
77.0,103.0
88.0,85.0
91.0,88.0
113.0,89.0
98.0,106.0
98.0,100.0
99.0,99.0
119.0,99.0
90.0,112.0
105.0,97.0
98.0,103.0
97.0,99.0
116.0,97.0
121.0,110.0
87.0,117.0
93.0,96.0
92.0,95.0
110.0,92.0
80.0,104.0
110.0,87.0
108.0,103.0
105.0,106.0
115.0,105.0
104.0,112.0
128.0,106.0
116.0,121.0
97.0,117.0
95.0,103.0
104.0,97.0
99.0,101.0
111.0,99.0
108.0,107.0
97.0,108.0
101.0,100.0
94.0,101.0
108.0,96.0
107.0,104.0
100.0,105.0
110.0,102.0
123.0,107.0
124.0,117.0
106.0,121.0
131.0,111.0
132.0,125.0
139.0,129.0
154.0,135.0
109.0,148.0
149.0,120.0
137.0,140.0
121.0,136.0
104.0,126.0
96.0,111.0
112.0,99.0
105.0,107.0
80.0,105.0
96.0,88.0
96.0,94.0
92.0,94.0
75.0,93.0
94.0,80.0
120.0,90.0
85.0,110.0
90.0,92.0
84.0,92.0
78.0,86.0
82.0,80.0
96.0,81.0
87.0,91.0
182.0,88.0
123.0,154.0
98.0,131.0
161.0,110.0
110.0,145.0
55.0,118.0
32.0,76.0
30.0,46.0
30.0,33.0
20.0,30.0
31.0,23.0
25.0,29.0
16.0,27.0
12.0,20.0
12.0,16.0
15.0,13.0
11.0,15.0
7.0,13.0
6.0,10.0
2.0,8.0
2.0,4.0
5.0,3.0
2.0,5.0
4.0,4.0
9.0,5.0
6.0,8.0
1.0,7.0
5.0,4.0
3.0,5.0
5.0,4.0
2.0,6.0
3.0,4.0
4.0,4.0
4.0,5.0
4.0,5.0
6.0,5.0
5.0,6.0
4.0,6.0
5.0,5.0
12.0,6.0
9.0,11.0
21.0,10.0
16.0,19.0
28.0,17.0
28.0,26.0
39.0,28.0
33.0,36.0
41.0,35.0
64.0,40.0
67.0,57.0
82.0,64.0
80.0,77.0
104.0,80.0
134.0,97.0
132.0,122.0
130.0,129.0
122.0,130.0
126.0,124.0
126.0,125.0
131.0,125.0
130.0,128.0
118.0,129.0
112.0,121.0
129.0,115.0
127.0,124.0
112.0,125.0
115.0,116.0
112.0,115.0
93.0,112.0
102.0,99.0
114.0,101.0
104.0,109.0
102.0,105.0
116.0,104.0
118.0,112.0
85.0,116.0
99.0,94.0
91.0,98.0
113.0,92.0
115.0,106.0
106.0,112.0
87.0,108.0
106.0,93.0
100.0,102.0
95.0,99.0
98.0,96.0
85.0,98.0
92.0,88.0
91.0,91.0
94.0,91.0
93.0,93.0
91.0,93.0
99.0,91.0
88.0,97.0
92.0,90.0
108.0,92.0
109.0,103.0
100.0,107.0
120.0,103.0
118.0,115.0
117.0,116.0
126.0,117.0
113.0,123.0
99.0,116.0
101.0,104.0
117.0,102.0
102.0,111.0
82.0,104.0
128.0,89.0
87.0,116.0
97.0,94.0
113.0,97.0
126.0,108.0
107.0,119.0
100.0,111.0
116.0,104.0
131.0,111.0
144.0,124.0
141.0,137.0
149.0,140.0
127.0,146.0
131.0,132.0
145.0,131.0
154.0,140.0
126.0,149.0
120.0,133.0
124.0,124.0
114.0,123.0
102.0,116.0
116.0,106.0
130.0,113.0
109.0,124.0
120.0,113.0
91.0,119.0
199.0,99.0
179.0,168.0
103.0,173.0
137.0,126.0
107.0,135.0
100.0,112.0
113.0,103.0
137.0,110.0
98.0,128.0
80.0,106.0
91.0,89.0
246.0,89.0
148.0,196.0
61.0,160.0
62.0,96.0
60.0,73.0
29.0,59.0
44.0,37.0
36.0,43.0
40.0,38.0
36.0,39.0
25.0,38.0
22.0,29.0
24.0,25.0
21.0,25.0
15.0,23.0
14.0,18.0
7.0,16.0
9.0,10.0
8.0,10.0
6.0,9.0
11.0,8.0
5.0,11.0
8.0,7.0
4.0,9.0
11.0,6.0
5.0,11.0
4.0,8.0
5.0,6.0
5.0,6.0
3.0,6.0
2.0,5.0
0.0,4.0
3.0,2.0
5.0,3.0
8.0,5.0
6.0,8.0
10.0,8.0
11.0,10.0
10.0,11.0
9.0,11.0
16.0,10.0
12.0,15.0
23.0,14.0
30.0,21.0
35.0,28.0
39.0,33.0
57.0,38.0
72.0,52.0
91.0,66.0
93.0,84.0
92.0,90.0
130.0,92.0
114.0,118.0
138.0,114.0
137.0,131.0
138.0,134.0
113.0,136.0
127.0,120.0
109.0,125.0
113.0,112.0
130.0,112.0
117.0,124.0
117.0,118.0
144.0,118.0
126.0,136.0
113.0,128.0
109.0,118.0
119.0,111.0
97.0,116.0
104.0,102.0
105.0,103.0
103.0,104.0
103.0,103.0
99.0,103.0
110.0,100.0
96.0,106.0
104.0,98.0
107.0,102.0
107.0,105.0
97.0,106.0
96.0,100.0
101.0,97.0
107.0,99.0
106.0,104.0
94.0,105.0
84.0,97.0
105.0,88.0
102.0,99.0
106.0,100.0
112.0,104.0
93.0,110.0
89.0,98.0
81.0,92.0
108.0,83.0
105.0,100.0
117.0,103.0
113.0,113.0
118.0,113.0
101.0,116.0
122.0,105.0
122.0,117.0
105.0,119.0
119.0,109.0
119.0,116.0
91.0,117.0
106.0,98.0
114.0,104.0
122.0,110.0
126.0,118.0
118.0,124.0
113.0,119.0
113.0,115.0
118.0,113.0
139.0,116.0
130.0,131.0
114.0,130.0
145.0,119.0
159.0,137.0
132.0,150.0
143.0,137.0
169.0,142.0
171.0,159.0
146.0,166.0
164.0,152.0
171.0,160.0
120.0,166.0
123.0,133.0
118.0,126.0
119.0,119.0
113.0,117.0
110.0,114.0
89.0,111.0
111.0,95.0
111.0,106.0
109.0,108.0
125.0,108.0
116.0,120.0
141.0,116.0
126.0,134.0
152.0,127.0
185.0,145.0
147.0,172.0
247.0,154.0
206.0,219.0
150.0,207.0
87.0,169.0
131.0,112.0
99.0,123.0
77.0,103.0
62.0,85.0
44.0,70.0
47.0,51.0
49.0,48.0
31.0,48.0
32.0,36.0
31.0,34.0
23.0,32.0
28.0,26.0
13.0,28.0
17.0,18.0
11.0,18.0
11.0,14.0
7.0,12.0
6.0,9.0
9.0,8.0
5.0,9.0
10.0,7.0
7.0,10.0
6.0,9.0
5.0,8.0
4.0,6.0
6.0,5.0
6.0,7.0
6.0,7.0
2.0,7.0
3.0,5.0
2.0,5.0
8.0,3.0
4.0,7.0
13.0,6.0
9.0,12.0
2.0,10.0
11.0,5.0
10.0,10.0
14.0,10.0
9.0,14.0
23.0,12.0
30.0,21.0
38.0,28.0
44.0,36.0
49.0,42.0
60.0,48.0
88.0,57.0
62.0,79.0
93.0,67.0
104.0,87.0
122.0,98.0
143.0,115.0
152.0,134.0
119.0,146.0
118.0,127.0
139.0,121.0
105.0,132.0
137.0,112.0
128.0,130.0
115.0,127.0
134.0,119.0
116.0,129.0
113.0,119.0
118.0,115.0
126.0,117.0
106.0,122.0
102.0,111.0
115.0,105.0
108.0,111.0
112.0,108.0
114.0,111.0
90.0,113.0
102.0,97.0
111.0,100.0
77.0,107.0
99.0,85.0
124.0,95.0
125.0,114.0
140.0,121.0
112.0,135.0
110.0,119.0
120.0,113.0
128.0,117.0
116.0,124.0
95.0,118.0
91.0,102.0
117.0,94.0
117.0,109.0
111.0,114.0
88.0,112.0
99.0,96.0
112.0,98.0
114.0,107.0
128.0,111.0
113.0,123.0
126.0,116.0
106.0,123.0
119.0,111.0
113.0,116.0
104.0,113.0
101.0,107.0
74.0,103.0
82.0,82.0
87.0,82.0
114.0,84.0
111.0,104.0
96.0,109.0
102.0,101.0
125.0,101.0
116.0,117.0
117.0,115.0
122.0,117.0
110.0,120.0
134.0,112.0
116.0,127.0
144.0,118.0
156.0,136.0
159.0,149.0
149.0,155.0
141.0,151.0
154.0,143.0
138.0,149.0
132.0,140.0
128.0,134.0
124.0,129.0
141.0,125.0
124.0,135.0
123.0,126.0
93.0,124.0
114.0,102.0
120.0,110.0
125.0,115.0
172.0,122.0
119.0,156.0
149.0,129.0
130.0,144.0
131.0,133.0
142.0,131.0
165.0,138.0
122.0,156.0
188.0,131.0
152.0,171.0
82.0,155.0
74.0,105.0
58.0,84.0
69.0,63.0
71.0,66.0
69.0,69.0
41.0,69.0
60.0,50.0
72.0,57.0
41.0,67.0
26.0,49.0
32.0,34.0
24.0,32.0
23.0,26.0
22.0,25.0
15.0,23.0
25.0,18.0
10.0,24.0
11.0,15.0
13.0,13.0
7.0,13.0
4.0,9.0
11.0,6.0
5.0,10.0
9.0,7.0
5.0,9.0
10.0,7.0
5.0,10.0
7.0,7.0
5.0,8.0
6.0,7.0
3.0,7.0
5.0,5.0
6.0,6.0
4.0,7.0
14.0,5.0
12.0,13.0
5.0,13.0
16.0,9.0
10.0,14.0
18.0,12.0
18.0,17.0
31.0,18.0
29.0,28.0
29.0,29.0
31.0,30.0
43.0,31.0
66.0,40.0
78.0,58.0
72.0,72.0
85.0,73.0
106.0,82.0
99.0,98.0
122.0,99.0
106.0,116.0
115.0,108.0
127.0,113.0
138.0,122.0
136.0,132.0
113.0,134.0
138.0,119.0
118.0,132.0
120.0,120.0
134.0,120.0
125.0,129.0
102.0,125.0
117.0,109.0
112.0,114.0
113.0,111.0
101.0,112.0
106.0,104.0
117.0,105.0
125.0,113.0
121.0,120.0
101.0,121.0
106.0,107.0
106.0,106.0
112.0,105.0
108.0,110.0
111.0,108.0
148.0,110.0
108.0,136.0
108.0,115.0
88.0,111.0
113.0,94.0
115.0,106.0
122.0,111.0
114.0,118.0
115.0,115.0
120.0,114.0
123.0,118.0
119.0,121.0
124.0,119.0
100.0,122.0
115.0,106.0
126.0,112.0
131.0,121.0
121.0,128.0
123.0,123.0
120.0,123.0
137.0,120.0
112.0,131.0
110.0,117.0
98.0,112.0
113.0,101.0
90.0,109.0
103.0,95.0
108.0,101.0
100.0,105.0
99.0,101.0
112.0,100.0
113.0,108.0
130.0,111.0
155.0,124.0
145.0,145.0
149.0,144.0
145.0,148.0
164.0,145.0
156.0,157.0
146.0,155.0
147.0,148.0
152.0,147.0
137.0,149.0
175.0,140.0
145.0,164.0
141.0,149.0
144.0,144.0
124.0,143.0
109.0,128.0
115.0,114.0
100.0,114.0
102.0,103.0
114.0,102.0
133.0,110.0
110.0,125.0
134.0,114.0
116.0,128.0
144.0,119.0
166.0,136.0
154.0,155.0
168.0,154.0
137.0,164.0
127.0,144.0
175.0,132.0
151.0,160.0
101.0,151.0
173.0,117.0
189.0,156.0
210.0,176.0
141.0,199.0
88.0,159.0
73.0,110.0
90.0,83.0
73.0,85.0
76.0,75.0
66.0,76.0
62.0,69.0
34.0,64.0
63.0,43.0
44.0,57.0
37.0,47.0
22.0,41.0
21.0,28.0
17.0,23.0
19.0,19.0
18.0,20.0
21.0,19.0
12.0,21.0
14.0,15.0
16.0,15.0
10.0,16.0
17.0,12.0
7.0,16.0
5.0,10.0
4.0,7.0
4.0,6.0
11.0,5.0
8.0,10.0
8.0,9.0
12.0,9.0
4.0,12.0
5.0,7.0
9.0,6.0
7.0,9.0
12.0,8.0
4.0,12.0
17.0,7.0
10.0,15.0
14.0,12.0
7.0,15.0
16.0,10.0
24.0,15.0
19.0,22.0
15.0,20.0
20.0,18.0
28.0,20.0
27.0,26.0
32.0,27.0
49.0,31.0
44.0,44.0
44.0,44.0
60.0,45.0
64.0,56.0
79.0,61.0
95.0,74.0
78.0,89.0
96.0,81.0
90.0,92.0
113.0,90.0
102.0,106.0
125.0,103.0
121.0,118.0
115.0,119.0
114.0,116.0
125.0,115.0
145.0,121.0
146.0,137.0
134.0,142.0
138.0,137.0
144.0,137.0
115.0,141.0
117.0,122.0
139.0,118.0
121.0,132.0
135.0,123.0
154.0,132.0
138.0,146.0
139.0,140.0
159.0,139.0
139.0,152.0
149.0,141.0
153.0,146.0
142.0,150.0
148.0,143.0
147.0,146.0
142.0,146.0
140.0,142.0
132.0,140.0
124.0,133.0
124.0,126.0
146.0,124.0
113.0,138.0
135.0,120.0
152.0,131.0
154.0,144.0
158.0,150.0
141.0,156.0
124.0,145.0
159.0,130.0
141.0,149.0
122.0,142.0
106.0,128.0
118.0,112.0
124.0,115.0
122.0,120.0
126.0,121.0
134.0,124.0
137.0,130.0
150.0,134.0
164.0,145.0
151.0,157.0
178.0,152.0
169.0,170.0
163.0,168.0
173.0,164.0
172.0,169.0
160.0,169.0
212.0,162.0
180.0,196.0
159.0,182.0
163.0,167.0
155.0,163.0
156.0,155.0
108.0,155.0
131.0,121.0
113.0,127.0
132.0,115.0
112.0,126.0
126.0,116.0
126.0,123.0
114.0,124.0
136.0,116.0
169.0,130.0
182.0,156.0
149.0,173.0
157.0,156.0
123.0,157.0
132.0,132.0
116.0,131.0
106.0,119.0
189.0,109.0
156.0,164.0
126.0,156.0
238.0,137.0
195.0,207.0
106.0,194.0
103.0,135.0
112.0,113.0
74.0,108.0
63.0,82.0
45.0,70.0
55.0,52.0
55.0,53.0
33.0,54.0
44.0,40.0
37.0,43.0
32.0,39.0
30.0,35.0
0.0,32.0
0.0,10.0
0.0,4.0
0.0,1.0
0.0,0.0
0.0,1.0
28.0,1.0
25.0,20.0
20.0,24.0
18.0,23.0
16.0,21.0
20.0,18.0
20.0,20.0
12.0,20.0
13.0,15.0
10.0,14.0
7.0,12.0
7.0,9.0
7.0,8.0
7.0,8.0
6.0,8.0
7.0,7.0
9.0,8.0
10.0,9.0
9.0,10.0
12.0,10.0
12.0,12.0
10.0,13.0
23.0,11.0
14.0,20.0
17.0,16.0
18.0,18.0
21.0,18.0
30.0,21.0
40.0,28.0
22.0,37.0
32.0,27.0
41.0,32.0
42.0,38.0
40.0,41.0
78.0,41.0
61.0,67.0
64.0,63.0
77.0,65.0
86.0,74.0
94.0,82.0
83.0,90.0
105.0,85.0
108.0,99.0
109.0,104.0
135.0,108.0
110.0,127.0
127.0,114.0
131.0,123.0
122.0,128.0
126.0,123.0
122.0,125.0
129.0,122.0
135.0,126.0
129.0,132.0
153.0,129.0
139.0,146.0
142.0,140.0
137.0,141.0
166.0,137.0
165.0,156.0
151.0,161.0
154.0,154.0
121.0,153.0
161.0,130.0
177.0,151.0
153.0,167.0
132.0,157.0
158.0,140.0
161.0,151.0
165.0,156.0
151.0,162.0
152.0,154.0
137.0,152.0
123.0,140.0
142.0,127.0
143.0,137.0
129.0,139.0
145.0,132.0
155.0,140.0
134.0,149.0
121.0,138.0
130.0,126.0
121.0,128.0
149.0,121.0
156.0,140.0
121.0,150.0
148.0,129.0
172.0,143.0
169.0,161.0
147.0,165.0
165.0,152.0
161.0,160.0
151.0,159.0
125.0,152.0
138.0,133.0
138.0,135.0
139.0,135.0
120.0,137.0
112.0,125.0
111.0,116.0
106.0,111.0
120.0,107.0
104.0,115.0
110.0,107.0
107.0,109.0
101.0,107.0
118.0,102.0
105.0,113.0
125.0,106.0
108.0,119.0
68.0,111.0
88.0,81.0
82.0,86.0
62.0,82.0
61.0,68.0
54.0,63.0
63.0,56.0
55.0,61.0
46.0,57.0
30.0,49.0
32.0,36.0
32.0,34.0
39.0,32.0
26.0,37.0
24.0,30.0
30.0,26.0
24.0,29.0
33.0,26.0
18.0,32.0
25.0,23.0
23.0,25.0
11.0,24.0
7.0,16.0
10.0,10.0
14.0,11.0
3.0,14.0
9.0,7.0
5.0,10.0
5.0,7.0
4.0,6.0
5.0,6.0
4.0,6.0
4.0,5.0
5.0,5.0
1.0,6.0
6.0,4.0
4.0,6.0
7.0,5.0
0.0,7.0
2.0,3.0
5.0,4.0
4.0,6.0
5.0,5.0
9.0,6.0
6.0,9.0
8.0,8.0
9.0,9.0
17.0,10.0
17.0,15.0
22.0,17.0
31.0,21.0
22.0,29.0
31.0,25.0
41.0,30.0
55.0,38.0
58.0,50.0
61.0,56.0
75.0,60.0
82.0,71.0
85.0,79.0
92.0,84.0
108.0,90.0
94.0,102.0
87.0,96.0
95.0,91.0
121.0,93.0
121.0,112.0
128.0,118.0
94.0,125.0
97.0,103.0
114.0,99.0
98.0,108.0
101.0,100.0
107.0,102.0
94.0,105.0
97.0,97.0
108.0,97.0
96.0,104.0
113.0,98.0
93.0,109.0
95.0,97.0
103.0,96.0
113.0,101.0
120.0,108.0
105.0,116.0
103.0,108.0
132.0,105.0
107.0,123.0
82.0,111.0
106.0,92.0
112.0,101.0
102.0,107.0
139.0,104.0
135.0,128.0
132.0,132.0
127.0,132.0
134.0,129.0
102.0,131.0
107.0,110.0
128.0,108.0
119.0,120.0
130.0,119.0
144.0,127.0
138.0,138.0
150.0,137.0
133.0,146.0
148.0,136.0
137.0,144.0
163.0,138.0
124.0,155.0
104.0,132.0
126.0,113.0
119.0,121.0
128.0,118.0
125.0,125.0
119.0,124.0
132.0,120.0
106.0,128.0
129.0,112.0
132.0,124.0
129.0,128.0
174.0,128.0
135.0,160.0
130.0,141.0
144.0,134.0
157.0,140.0
159.0,150.0
180.0,156.0
168.0,173.0
183.0,168.0
186.0,178.0
151.0,182.0
136.0,160.0
124.0,143.0
152.0,128.0
164.0,143.0
163.0,156.0
136.0,161.0
131.0,143.0
95.0,134.0
121.0,106.0
108.0,116.0
131.0,109.0
117.0,124.0
116.0,119.0
166.0,117.0
113.0,150.0
118.0,123.0
193.0,121.0
193.0,170.0
254.0,183.0
151.0,233.0
79.0,175.0
70.0,110.0
87.0,80.0
77.0,81.0
59.0,77.0
71.0,65.0
40.0,69.0
32.0,49.0
41.0,38.0
30.0,40.0
27.0,33.0
19.0,30.0
20.0,23.0
9.0,21.0
16.0,13.0
15.0,16.0
7.0,16.0
6.0,10.0
7.0,9.0
12.0,8.0
3.0,11.0
5.0,6.0
7.0,6.0
5.0,7.0
6.0,6.0
3.0,7.0
4.0,5.0
6.0,5.0
1.0,6.0
3.0,3.0
1.0,4.0
2.0,3.0
7.0,3.0
3.0,7.0
3.0,5.0
7.0,5.0
5.0,7.0
5.0,6.0
6.0,6.0
14.0,7.0
10.0,13.0
19.0,11.0
20.0,18.0
25.0,20.0
24.0,25.0
48.0,25.0
61.0,42.0
61.0,56.0
76.0,60.0
